Binol,Ligand,Binol_smiles,Ligand_smiles,Binol_conf_id,Ligand_conf_id,Binol_Sites,Ligand_Sites,Binol_G,Ligand_G
0,1001,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C1=N[C@@H](C(C)(C)C)CO1)C1=N[C@@H](C(C)(C)C)CO1,0,3,0 13,4 13,-920.1839287,-924.7872077
0,1003,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@@H]1COC(C(C)(C)C2=N[C@H](C(C)C)CO2)=N1,0,2,0 13,18 11,-920.1839287,-846.264983
0,1004,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C1=N[C@H](Cc2ccccc2)CO1)C1=N[C@H](Cc2ccccc2)CO1,0,0,0 13,16 4,-920.1839287,-1150.888196
0,1005,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C1=N[C@@H](c2ccccc2)C(c2ccccc2)(c2ccccc2)O1)C1=N[C@@H](c2ccccc2)C(c2ccccc2)(c2ccccc2)O1,0,1,0 13,27 4,-920.1839287,-1995.694324
0,1006,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)O1)C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)O1,0,0,0 13,4 21,-920.1839287,-1534.032214
0,1009,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C1=N[C@@H]2c3ccccc3C[C@@H]2O1)C1=N[C@@H]2c3ccccc3C[C@@H]2O1,0,0,0 13,16 4,-920.1839287,-1148.533419
0,1010,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CCC(CC)(C1=N[C@H]2c3ccccc3C[C@H]2O1)C1=N[C@H]2c3ccccc3C[C@H]2O1,0,0,0 13,18 6,-920.1839287,-1227.050677
0,1011,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CCCCC3)=N[C@H]2c2ccccc2)cc1,0,3,0 13,9 30,-920.1839287,-1650.634597
0,1012,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)[C@@H]1COC(C2(C3=N[C@H](C(C)(C)C)CO3)CCCCC2)=N1,0,0,0 13,10 23,-920.1839287,-1041.378417
0,1014,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc(C[C@H]2COC(C3(C4=N[C@@H](Cc5ccccc5)CO4)CCCC3)=N2)cc1,0,1,0 13,26 11,-920.1839287,-1228.21857
0,1015,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)[C@H]1COC(C2(C3=N[C@@H](C(C)(C)C)CO3)CCCC2)=N1,0,2,0 13,10 22,-920.1839287,-1002.119896
0,1016,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@H]2COC(C3(C4=N[C@@H](c5ccccc5)CO4)CCCC3)=N2)cc1,0,1,0 13,24 10,-920.1839287,-1149.693678
0,1017,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CC2)=N1,0,0,0 13,9 18,-920.1839287,-845.0470679
0,1019,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc2c(c1)C[C@H]1OC(C3(C4=N[C@H]5c6ccccc6C[C@H]5O4)CC3)=N[C@@H]21,0,0,0 13,25 12,-920.1839287,-1147.313977
0,1020,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CC3)=N[C@H]2c2ccccc2)cc1,0,0,0 13,9 27,-920.1839287,-1532.815707
0,1022,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H](c3ccccc3)CO2)C2=N[C@@H](c3ccccc3)CO2)cc1,0,2,0 13,25 14,-920.1839287,-1534.023098
0,1023,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)O2)C2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)O2)cc1,0,0,0 13,22 39,-920.1839287,-2309.776028
0,1024,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)c1ccc(CC(Cc2ccc(C(C)(C)C)cc2)(C2=N[C@@H](c3ccccc3)CO2)C2=N[C@@H](c3ccccc3)CO2)cc1,0,0,0 13,33 22,-920.1839287,-1848.107801
0,1025,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(Cc1ccccc1)(C1=N[C@@H](c2ccccc2)CO1)C1=N[C@@H](c2ccccc2)CO1,0,0,0 13,10 21,-920.1839287,-1303.193117
0,1026,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc(CC(Cc2ccccc2)(C2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)O2)C2=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)O2)cc1,0,1,0 13,14 31,-920.1839287,-1995.696517
0,1027,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(Cc1ccccc1)(C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)O1)C1=N[C@H](c2ccccc2)[C@H](c2ccccc2)O1,0,4,0 13,10 27,-920.1839287,-1764.861718
0,1028,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@@H]1COC(C(Cc2ccccc2)(Cc2ccccc2)C2=N[C@H](C(C)C)CO2)=N1,0,1,0 13,30 23,-920.1839287,-1307.925837
0,1029,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@H]1COC(C(Cc2ccc(C(C)(C)C)cc2)(Cc2ccc(C(C)(C)C)cc2)C2=N[C@@H](C(C)C)CO2)=N1,0,0,0 13,38 31,-920.1839287,-1622.00837
0,1030,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc(C[C@H]2COC(C(Cc3ccccc3)(Cc3ccccc3)C3=N[C@@H](Cc4ccccc4)CO3)=N2)cc1,0,0,0 13,25 36,-920.1839287,-1612.547877
0,1031,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc2c(c1)C[C@@H]1OC(C3(C4=N[C@@H]5c6ccccc6C[C@@H]5O4)CCCC3)=N[C@H]21,0,0,0 13,27 12,-920.1839287,-1225.865898
0,1032,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@H]2OC(C3(C4=N[C@@H](c5ccccc5)[C@@H](c5ccccc5)O4)CCCC3)=N[C@H]2c2ccccc2)cc1,0,0,0 13,9 29,-920.1839287,-1611.364108
0,1033,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CCCCC3)=N2)cc1,0,1,0 13,25 10,-920.1839287,-1188.961784
0,1034,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)c1cc(CC(Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2)(C2=N[C@H]3c4ccccc4C[C@H]3O2)C2=N[C@H]3c4ccccc4C[C@H]3O2)cc(C(C)(C)C)c1,0,1,0 13,25 37,-920.1839287,-2238.36189
0,1035,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,C[C@@H]1COC(C(Cc2ccccc2)(Cc2ccccc2)C2=N[C@H](C)CO2)=N1,0,4,0 13,26 21,-920.1839287,-1150.883527
0,1036,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C1=N[C@H](c2ccccc2)CO1)C1=N[C@H](c2ccccc2)CO1,0,4,0 13,4 15,-920.1839287,-1072.360523
0,1037,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@H]1COC(C2(C3=N[C@@H](C(C)C)CO3)CCCCC2)=N1,0,2,0 13,9 21,-920.1839287,-962.8650477
0,1038,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)[C@@H]1COC(CC2=N[C@H](C(C)(C)C)CO2)=N1,0,1,0 13,10 18,-920.1839287,-846.2631981
0,1039,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@@H]2COC(C3(C4=N[C@H](c5ccccc5)CO4)CC3)=N2)cc1,0,0,0 13,10 22,-920.1839287,-1071.142417
0,1040,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@@H]1COC(CC2=N[C@H](C(C)C)CO2)=N1,0,3,0 13,16 9,-920.1839287,-767.7407516
0,1041,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@@H]1COC(c2cccc(C3=N[C@H](C(C)C)CO3)n2)=N1,0,0,0 13,21 20 13,-920.1839287,-975.3489125
0,1044,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@H]2COC(c3cccc(C4=N[C@@H](c5ccccc5)CO4)n3)=N2)cc1,0,0,0 13,24 25 14,-920.1839287,-1201.443303
0,1045,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc(C[C@@H]2COC(c3cccc(C4=N[C@H](Cc5ccccc5)CO4)n3)=N2)cc1,0,0,0 13,26 27 15,-920.1839287,-1279.968702
0,1046,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1cc(C2=N[C@H]3c4ccccc4C[C@H]3O2)nc(C2=N[C@H]3c4ccccc4C[C@H]3O2)c1,0,0,0 13,18 4 15,-920.1839287,-1277.615075
0,1048,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,C(\C1=N[C@H](c2ccccc2)CO1)=c1\[n-]/c(=C\C2=N[C@H](c3ccccc3)CO2)c2ccccc12,0,0,0 13,17 2 13,-920.1839287,-1393.650658
0,1049,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc([C@H]2N=C(c3cccc(C4=N[C@H](c5ccccc5)[C@H](c5ccccc5)O4)n3)O[C@H]2c2ccccc2)cc1,0,1,0 13,29 13 5,-920.1839287,-1663.108881
0,1050,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)[C@H]1N=C(c2cccc(C3=N[C@H](C(C)C)C(c4ccccc4)(c4ccccc4)O3)n2)OC1(c1ccccc1)c1ccccc1,0,0,0 13,4 12 31,-920.1839287,-1898.675751
0,1051,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)(C)[C@H]1COC(C2=N[C@@H](C(C)(C)C)CO2)=N1,0,1,0 13,9 17,-920.1839287,-806.9917463
0,1052,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc2c(c1)C[C@H]1OC(C3=N[C@H]4c5ccccc5C[C@H]4O3)=N[C@@H]21,0,0,0 13,11 22,-920.1839287,-1030.735569
0,1054,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,c1ccc(C[C@@H]2COC(C3=N[C@H](Cc4ccccc4)CO3)=N2)cc1,0,0,0 13,10 21,-920.1839287,-1033.091065
0,1056,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,C[C@H]1COC(C2=N[C@@H](C)CO2)=N1,0,0,0 13,11 6,-920.1839287,-571.4282178
0,1057,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CC(C)C[C@@H]1COC(C2=N[C@H](CC(C)C)CO2)=N1,0,0,0 13,9 17,-920.1839287,-806.9877797
